# xi f(x)
0.000000 0.000000
0.010101 0.010100
0.020202 0.020194
0.030303 0.030275
0.040404 0.040338
0.050505 0.050376
0.060606 0.060384
0.070707 0.070354
0.080808 0.080282
0.090909 0.090161
0.101010 0.099985
0.111111 0.109748
0.121212 0.119444
0.131313 0.129068
0.141414 0.138614
0.151515 0.148076
0.161616 0.157449
0.171717 0.166728
0.181818 0.175906
0.191919 0.184979
0.202020 0.193941
0.212121 0.202788
0.222222 0.211515
0.232323 0.220116
0.242424 0.228588
0.252525 0.236925
0.262626 0.245123
0.272727 0.253178
0.282828 0.261086
0.292929 0.268842
0.303030 0.276443
0.313131 0.283886
0.323232 0.291166
0.333333 0.298280
0.343434 0.305225
0.353535 0.311998
0.363636 0.318596
0.373737 0.325016
0.383838 0.331255
0.393939 0.337312
0.404040 0.343184
0.414141 0.348868
0.424242 0.354364
0.434343 0.359668
0.444444 0.364780
0.454545 0.369698
0.464646 0.374421
0.474747 0.378948
0.484848 0.383277
0.494949 0.387409
0.505051 0.391342
0.515152 0.395077
0.525253 0.398612
0.535354 0.401948
0.545455 0.405086
0.555556 0.408024
0.565657 0.410764
0.575758 0.413307
0.585859 0.415652
0.595960 0.417801
0.606061 0.419755
0.616162 0.421514
0.626263 0.423082
0.636364 0.424457
0.646465 0.425643
0.656566 0.426642
0.666667 0.427454
0.676768 0.428081
0.686869 0.428527
0.696970 0.428793
0.707071 0.428882
0.717172 0.428795
0.727273 0.428537
0.737374 0.428108
0.747475 0.427512
0.757576 0.426752
0.767677 0.425830
0.777778 0.424751
0.787879 0.423516
0.797980 0.422129
0.808081 0.420594
0.818182 0.418913
0.828283 0.417090
0.838384 0.415129
0.848485 0.413032
0.858586 0.410804
0.868687 0.408449
0.878788 0.405968
0.888889 0.403368
0.898990 0.400650
0.909091 0.397820
0.919192 0.394880
0.929293 0.391834
0.939394 0.388687
0.949495 0.385442
0.959596 0.382102
0.969697 0.378672
0.979798 0.375156
0.989899 0.371557
1.000000 0.367879
